Q2;x;F2@nlo(fortran);F2@nlo(cpp);F2@nnlo(fortran);F2@nnlo(cpp,apr1);F2@nnlo(cpp,apr2);F2@nnlo(cpp,ex)
2.0000000e+00;1.0000000e-05;9.7786744e-01;9.7787050e-01;9.6490459e-01;9.6491445e-01;9.6484110e-01;9.6484357e-01
2.0000000e+00;3.5898027e-05;8.3110949e-01;8.3111094e-01;8.0105656e-01;8.0105978e-01;8.0101552e-01;8.0101632e-01
2.0000000e+00;1.2886683e-04;7.0741125e-01;7.0741341e-01;6.5594873e-01;6.5594843e-01;6.5593733e-01;6.5593685e-01
2.0000000e+00;4.6260650e-04;5.9582655e-01;5.9582629e-01;5.2770564e-01;5.2770667e-01;5.2772743e-01;5.2772659e-01
2.0000000e+00;1.6606661e-03;4.9657748e-01;4.9657348e-01;4.2722099e-01;4.2722390e-01;4.2726444e-01;4.2726362e-01
2.0000000e+00;5.9614635e-03;4.1721265e-01;4.1721832e-01;3.6711565e-01;3.6712549e-01;3.6715800e-01;3.6715774e-01
2.0000000e+00;2.1400477e-02;3.7246290e-01;3.7245925e-01;3.5104758e-01;3.5105614e-01;3.5105378e-01;3.5105456e-01
2.0000000e+00;7.6823491e-02;3.7392826e-01;3.7392644e-01;3.6641677e-01;3.6641325e-01;3.6640059e-01;3.6640080e-01
2.0000000e+00;2.7578117e-01;3.4512902e-01;3.4510966e-01;3.3260760e-01;3.3262352e-01;3.3262222e-01;3.3262262e-01
2.0000000e+00;9.9000000e-01;2.1199849e-06;2.0985308e-06;5.3490629e-06;5.2157741e-06;5.2157529e-06;5.2157032e-06
8.5950595e+00;1.0000000e-05;1.8938709e+00;1.8938738e+00;1.7780347e+00;1.7780428e+00;1.7780947e+00;1.7780953e+00
8.5950595e+00;3.5898027e-05;1.5109320e+00;1.5109356e+00;1.4063367e+00;1.4063415e+00;1.4063945e+00;1.4063941e+00
8.5950595e+00;1.2886683e-04;1.1961680e+00;1.1961699e+00;1.1046338e+00;1.1046344e+00;1.1046860e+00;1.1046852e+00
8.5950595e+00;4.6260650e-04;9.3274521e-01;9.3274568e-01;8.5808453e-01;8.5808586e-01;8.5813200e-01;8.5813140e-01
8.5950595e+00;1.6606661e-03;7.1661862e-01;7.1661785e-01;6.6338481e-01;6.6338591e-01;6.6342027e-01;6.6342034e-01
8.5950595e+00;5.9614635e-03;5.5181962e-01;5.5182032e-01;5.2203676e-01;5.2203928e-01;5.2205316e-01;5.2205322e-01
8.5950595e+00;2.1400477e-02;4.4719716e-01;4.4719825e-01;4.3590153e-01;4.3590551e-01;4.3589905e-01;4.3589939e-01
